ORI9,TYPE,BJS_AGENCYNAME,CITY,STATENAME,STATECODE,POP2012,FTSWORN,FTCIV,PERS_PDSW_MFT,PERS_FTS_WHT,PAY_SAL_EXC_MIN,PAY_SAL_EXC_MAX,PAY_SAL_SGT_MIN,PAY_SAL_SGT_MAX,PAY_SAL_OFCR_MIN,PAY_SAL_OFCR_MAX,PAY_BARG,BDGT_TTL
AKASP0000,3,Alaska State Troopers                                                                               ,Anchorage                               ,Alaska              ,AK,730496,303,198,289,257,99468,99468,71148,71148,61404,61404,(1) Yes,139072400
AK0011300,1,BETHEL POLICE DEPT                                                                                  ,Bethel                                  ,Alaska              ,AK,6371,13,10,11,9,78000,104000,51658,97413,43071,77359,(1) Yes,3278838
AK0014600,1,BRISTOL BAY BOROUGH POLICE DEPT                                                                     ,King Salmon                             ,Alaska              ,AK,997,5,5,5,4,68208,102480,NA,NA,53456,79789,(1) Yes,1.00E+06
AK0011400,1,CORDOVA POLICE DEPT                                                                                 ,Cordova                                 ,Alaska              ,AK,2267,6,6,6,5,70342,70342,NA,NA,44574,53934,(1) Yes,531000
AK0013200,1,NORTH POLE POLICE DEPT                                                                              ,North Pole                              ,Alaska              ,AK,2210,14,1,11,12,50952,91800,41532,76752,43476,43476,(1) Yes,1500000
         ,1,ST. MARY'S POLICE DEPT                                                                              ,St. Mary's                              ,Alaska              ,AK,531,0,0,0,0,NA,NA,36400,36400,29640,29640,(2) No,127880
AK0011100,1,WRANGELL POLICE DEPT                                                                                ,Wrangell                                ,Alaska              ,AK,2403,7,8,7,5,NA,NA,NA,NA,NA,NA,(2) No,NA
ALAST0000,3,Alabama Department of Public Safety                                                                 ,Montgomery                              ,Alabama             ,AL,4824222,668,537,654,515,69098,105403,41258,76349,29225,47758,(1) Yes,103106105
AL0500100,1,ALBERTVILLE POLICE DEPT                                                                             ,Albertville                             ,Alabama             ,AL,21516,45,23,45,45,51000,51000,NA,NA,NA,NA,(2) No,3952576
AL0620100,1,ALEXANDER CITY POLICE DEPT                                                                          ,Alexander City                          ,Alabama             ,AL,14728,49,18,46,41,52047,84248,33599,54387,28833,45845,(2) No,4500000
AL0581200,1,ARGO POLICE DEPT                                                                                    ,Trussville                              ,Alabama             ,AL,4131,6,0,6,5,39400,39400,34320,34320,33200,33200,(2) No,251480
AL0580200,1,ASHVILLE POLICE DEPT                                                                                ,Ashville                                ,Alabama             ,AL,2234,5,0,4,5,35000,60000,30000,40000,30000,40000,(1) Yes,342000
AL0440100,1,ATHENS POLICE DEPT                                                                                  ,Athens                                  ,Alabama             ,AL,23469,46,10,44,43,75000,105000,40000,55000,32000,50000,(1) Yes,4700000
AL0040000,2,AUTAUGA COUNTY SHERIFFS OFFICE                                                                      ,Prattville                              ,Alabama             ,AL,55514,26,4,26,24,60568,60568,32864,41600,28704,37440,(1) Yes,1983749
AL0050000,2,BALDWIN COUNTY SHERIFFS OFFICE                                                                      ,Bay Minette                             ,Alabama             ,AL,190790,105,182,102,94,93776,95794,44137,68840,36583,36583,(2) No,18939886
AL0320200,1,BERRY POLICE DEPT                                                                                   ,Berry                                   ,Alabama             ,AL,1130,3,0,3,2,41600,45760,NA,NA,34320,38480,(1) Yes,227700
AL0010100,1,BESSEMER POLICE DEPT                                                                                ,Bessemer                                ,Alabama             ,AL,27289,105,32,98,49,61900,96050,36275,56201,31304,48505,(2) No,10200000
AL0010200,1,BIRMINGHAM POLICE DEPT                                                                              ,Birmingham                              ,Alabama             ,AL,212038,847,255,715,329,NA,NA,41433,64188,35796,55515,(2) No,83233076
AL0390200,1,BRIDGEPORT POLICE DEPT                                                                              ,Bridgeport                              ,Alabama             ,AL,2395,6,4,6,6,32000,35000,30000,32000,28000,30000,(1) Yes,NA
         ,1,BROOKWOOD POLICE DEPT                                                                               ,Brookwood                               ,Alabama             ,AL,1842,6,0,6,6,40000,52000,35000,38000,30000,31500,(1) Yes,270000
AL0590100,1,CALERA POLICE DEPT                                                                                  ,Calera                                  ,Alabama             ,AL,12472,26,33,26,24,77854,104270,45413,60931,40605,53149,(1) Yes,2800000
AL0660100,1,CAMDEN POLICE DEPT                                                                                  ,Camden                                  ,Alabama             ,AL,1990,9,1,9,4,47000,47000,41000,44000,23400,35155,(2) No,310000
AL0610300,1,CHILDERSBURG POLICE DEPT                                                                            ,Childersburg                            ,Alabama             ,AL,5124,12,1,12,11,48000,48000,NA,NA,NA,NA,(1) Yes,986000
AL0170000,2,CLAY COUNTY SHERIFFS OFFICE                                                                         ,Ashland                                 ,Alabama             ,AL,13435,9,16,8,9,56763,56763,NA,NA,24194,26944,(1) Yes,1.00E+06
AL0250000,2,CULLMAN COUNTY SHERIFFS OFFICE                                                                      ,Cullman                                 ,Alabama             ,AL,80440,75,55,73,75,69113,69113,31997,50801,29425,45368,(1) Yes,8712124
AL0620200,1,DADEVILLE POLICE DEPT                                                                               ,Dadeville                               ,Alabama             ,AL,3194,14,1,14,11,NA,NA,NA,NA,NA,NA,(1) Yes,NA
AL0520100,1,DECATUR POLICE DEPT                                                                                 ,Decatur                                 ,Alabama             ,AL,55996,130,25,123,109,63232,100620,33540,55300,30550,48308,(2) No,11812534
AL0380100,1,DOTHAN POLICE DEPT                                                                                  ,Dothan                                  ,Alabama             ,AL,67382,158,68,147,134,85197,129855,41433,63273,33072,50585,(2) No,17353101
AL0240300,1,DOZIER POLICE DEPT                                                                                  ,Dozier                                  ,Alabama             ,AL,334,1,0,1,0,10000,20000,NA,NA,NA,NA,(2) No,43180
AL0300400,1,FLOMATON POLICE DEPT                                                                                ,Flomaton                                ,Alabama             ,AL,1427,5,3,5,5,86528,86528,27400,27400,24960,24960,(1) Yes,3.00E+05
AL0280300,1,GERALDINE POLICE DEPT                                                                               ,Geraldine                               ,Alabama             ,AL,900,5,1,5,5,35000,35000,NA,NA,30000,30000,(1) Yes,232900
AL0500200,1,GUNTERSVILLE POLICE DEPT                                                                            ,Guntersville                            ,Alabama             ,AL,8343,33,11,31,33,65000,65000,36000,43500,27000,42000,(1) Yes,2697000
